tanggal,total_flight,early,ontime,delay,cancelled,operated,pct_ontime,pct_delay,avg_delay_menit
2025-03-01,170,36,80,44,10,160,72.5,27.5,27.9
2025-03-02,43,13,24,5,1,42,88.1,11.9,28.6
2025-03-03,150,35,74,37,4,146,74.7,25.3,31.5
2025-03-04,160,39,90,28,3,157,82.2,17.8,26.4
2025-03-05,171,28,109,33,1,170,80.6,19.4,26.7
2025-03-06,173,46,82,27,18,155,82.6,17.4,30.2
2025-03-07,186,42,98,31,15,171,81.9,18.1,33.7
2025-03-08,173,17,63,79,14,159,50.3,49.7,37.5
2025-03-09,189,34,91,53,11,178,70.2,29.8,29.5
2025-03-10,176,27,95,46,8,168,72.6,27.4,31.0
2025-03-11,166,38,83,35,10,156,77.6,22.4,24.8
2025-03-12,190,25,108,44,13,177,75.1,24.9,31.3
2025-03-13,183,30,96,41,16,167,75.4,24.6,31.1
2025-03-14,195,23,95,64,13,182,64.8,35.2,29.1
2025-03-15,178,24,92,51,11,167,69.5,30.5,30.0
2025-03-16,192,19,103,60,10,182,67.0,33.0,30.0
2025-03-17,187,18,97,59,13,174,66.1,33.9,29.4
2025-03-18,173,31,89,41,12,161,74.5,25.5,30.7
2025-03-19,185,17,93,65,10,175,62.9,37.1,30.5
2025-03-20,184,21,70,78,15,169,53.8,46.2,30.2
2025-03-21,198,10,66,106,16,182,41.8,58.2,34.3
2025-03-22,191,9,85,89,8,183,51.4,48.6,33.2
2025-03-23,184,18,92,74,0,184,59.8,40.2,28.6
2025-03-24,188,25,76,86,1,187,54.0,46.0,28.7
2025-03-25,179,19,77,83,0,179,53.6,46.4,29.5
2025-03-26,199,10,92,97,0,199,51.3,48.7,32.8
2025-03-27,205,16,88,101,0,205,50.7,49.3,33.2
2025-03-28,213,16,84,113,0,213,46.9,53.1,32.4
2025-03-29,58,3,32,23,0,58,60.3,39.7,32.0
2025-03-30,185,12,71,101,1,184,45.1,54.9,32.9
2025-03-31,201,24,87,88,2,199,55.8,44.2,29.5
2025-04-01,193,34,75,83,1,192,56.8,43.2,28.0
2025-04-02,200,35,91,73,1,199,63.3,36.7,26.8
2025-04-03,198,30,77,91,0,198,54.0,46.0,28.4
2025-04-04,212,18,86,108,0,212,49.1,50.9,28.4
2025-04-05,210,28,79,103,0,210,51.0,49.0,33.7
2025-04-06,215,17,75,122,1,214,43.0,57.0,33.7
2025-04-07,207,19,84,104,0,207,49.8,50.2,33.1
2025-04-08,193,23,69,101,0,193,47.7,52.3,30.6
2025-04-09,200,19,73,108,0,200,46.0,54.0,30.5
2025-04-10,200,25,76,98,1,199,50.8,49.2,29.8
2025-04-11,210,16,86,108,0,210,48.6,51.4,31.5
2025-04-12,202,36,94,72,0,202,64.4,35.6,30.1
2025-04-13,210,16,84,110,0,210,47.6,52.4,32.4
2025-04-14,208,26,89,93,0,208,55.3,44.7,32.0
2025-04-15,199,28,91,73,7,192,62.0,38.0,32.6
2025-04-16,213,24,78,104,7,206,49.5,50.5,32.1
2025-04-17,212,28,89,90,5,207,56.5,43.5,30.9
2025-04-18,210,18,78,108,6,204,47.1,52.9,33.5
2025-04-19,210,26,98,83,3,207,59.9,40.1,30.3
2025-04-20,215,12,81,122,0,215,43.3,56.7,32.5
2025-04-21,211,21,92,92,6,205,55.1,44.9,30.1
2025-04-22,203,22,92,79,10,193,59.1,40.9,29.7
2025-04-23,211,23,83,93,12,199,53.3,46.7,31.8
2025-04-24,210,20,113,65,12,198,67.2,32.8,27.9
2025-04-25,210,19,86,94,11,199,52.8,47.2,31.2
2025-04-26,205,19,95,80,11,194,58.8,41.2,29.5
2025-04-27,210,21,98,90,1,209,56.9,43.1,29.9
2025-04-28,207,19,75,102,11,196,48.0,52.0,31.9
2025-04-29,200,18,107,72,3,197,63.5,36.5,30.9
2025-04-30,215,18,79,105,13,202,48.0,52.0,31.0
2025-05-01,208,22,80,94,12,196,52.0,48.0,31.7
2025-05-02,211,11,84,102,14,197,48.2,51.8,31.7
2025-05-03,204,25,93,74,12,192,61.5,38.5,28.6
2025-05-04,210,13,82,115,0,210,45.2,54.8,31.6
2025-05-05,208,23,77,96,12,196,51.0,49.0,30.0
2025-05-06,202,25,80,84,13,189,55.6,44.4,29.3
2025-05-07,211,23,93,84,11,200,58.0,42.0,32.0
2025-05-08,203,26,79,86,12,191,55.0,45.0,32.0
2025-05-09,209,14,93,101,1,208,51.4,48.6,33.3
2025-05-10,206,21,84,98,3,203,51.7,48.3,29.9
2025-05-11,208,24,88,94,2,206,54.4,45.6,29.9
2025-05-12,209,9,80,114,6,203,43.8,56.2,31.0
2025-05-13,204,19,89,92,4,200,54.0,46.0,32.3
2025-05-14,209,19,88,93,9,200,53.5,46.5,30.1
2025-05-15,201,23,85,79,14,187,57.8,42.2,31.4
2025-05-16,208,20,82,89,17,191,53.4,46.6,32.1
2025-05-17,204,22,99,81,2,202,59.9,40.1,29.0
2025-05-18,210,14,100,93,3,207,55.1,44.9,33.0
2025-05-19,203,16,77,95,15,188,49.5,50.5,31.8
2025-05-20,201,26,74,84,17,184,54.3,45.7,29.1
2025-05-21,205,18,89,82,16,189,56.6,43.4,31.3
2025-05-22,204,13,108,80,3,201,60.2,39.8,32.2
2025-05-23,213,13,72,112,16,197,43.1,56.9,32.3
2025-05-24,204,22,95,81,6,198,59.1,40.9,29.1
2025-05-25,210,23,99,88,0,210,58.1,41.9,33.5
2025-05-26,207,20,73,101,13,194,47.9,52.1,32.4
2025-05-27,199,22,96,78,3,196,60.2,39.8,31.8
2025-05-28,209,12,83,103,11,198,48.0,52.0,29.7
2025-05-29,201,17,88,87,9,192,54.7,45.3,30.1
2025-05-30,210,19,78,99,14,196,49.5,50.5,30.8
2025-05-31,204,12,84,93,15,189,50.8,49.2,30.3
2025-06-01,219,14,96,109,0,219,50.2,49.8,32.7
2025-06-02,208,15,84,98,11,197,50.3,49.7,29.6
2025-06-03,205,20,85,87,13,192,54.7,45.3,27.2
2025-06-04,215,15,88,97,15,200,51.5,48.5,29.2
2025-06-05,210,25,79,95,11,199,52.3,47.7,31.5
2025-06-06,215,24,73,108,10,205,47.3,52.7,31.8
2025-06-07,205,20,84,84,17,188,55.3,44.7,31.1
2025-06-08,219,25,91,95,8,211,55.0,45.0,33.3
2025-06-09,210,20,73,109,8,202,46.0,54.0,31.7
2025-06-10,201,20,79,87,15,186,53.2,46.8,29.4
2025-06-11,213,12,85,92,24,189,51.3,48.7,32.0
2025-06-12,204,21,88,82,13,191,57.1,42.9,30.7
2025-06-13,216,10,89,105,12,204,48.5,51.5,31.2
2025-06-14,207,19,83,94,11,196,52.0,48.0,32.1
2025-06-15,213,15,73,124,1,212,41.5,58.5,32.5
2025-06-16,211,15,74,109,13,198,44.9,55.1,33.2
2025-06-17,193,16,89,83,5,188,55.9,44.1,29.8
2025-06-18,205,7,78,92,28,177,48.0,52.0,32.9
2025-06-19,205,8,64,129,4,201,35.8,64.2,32.5
2025-06-20,209,11,58,137,3,206,33.5,66.5,34.8
2025-06-21,196,12,83,100,1,195,48.7,51.3,29.4
2025-06-22,209,6,73,128,2,207,38.2,61.8,32.0
2025-06-23,204,15,59,128,2,202,36.6,63.4,34.0
2025-06-24,199,19,81,98,1,198,50.5,49.5,29.9
2025-06-25,209,13,55,140,1,208,32.7,67.3,36.2
2025-06-26,207,10,66,130,1,206,36.9,63.1,34.8
2025-06-27,212,6,78,128,0,212,39.6,60.4,33.5
2025-06-28,205,10,60,135,0,205,34.1,65.9,34.1
2025-06-29,220,14,72,134,0,220,39.1,60.9,32.6
2025-06-30,203,14,79,110,0,203,45.8,54.2,32.9
2025-07-01,208,17,72,119,0,208,42.8,57.2,30.6
2025-07-02,215,16,78,121,0,215,43.7,56.3,33.2
2025-07-03,210,12,85,113,0,210,46.2,53.8,31.5
2025-07-04,219,8,71,140,0,219,36.1,63.9,31.8
2025-07-05,205,18,78,109,0,205,46.8,53.2,33.2
2025-07-06,216,7,80,127,2,214,40.7,59.3,34.1
2025-07-07,210,11,71,116,12,198,41.4,58.6,31.2
2025-07-08,208,10,74,118,6,202,41.6,58.4,34.6
2025-07-09,216,4,79,131,2,214,38.8,61.2,33.1
2025-07-10,210,14,83,110,3,207,46.9,53.1,32.4
2025-07-11,217,16,74,126,1,216,41.7,58.3,32.5
2025-07-12,206,17,83,105,1,205,48.8,51.2,33.7
2025-07-13,218,24,79,115,0,218,47.2,52.8,30.5
2025-07-14,206,12,70,124,0,206,39.8,60.2,32.6
2025-07-15,201,16,76,108,1,200,46.0,54.0,31.0
2025-07-16,210,11,87,110,2,208,47.1,52.9,31.8
2025-07-17,208,27,76,101,4,204,50.5,49.5,30.8
2025-07-18,213,15,79,117,2,211,44.5,55.5,34.2
2025-07-19,205,13,83,108,1,204,47.1,52.9,32.5
2025-07-20,214,21,81,109,3,211,48.3,51.7,32.9
2025-07-21,209,13,87,108,1,208,48.1,51.9,31.5
2025-07-22,203,15,89,96,3,200,52.0,48.0,32.5
2025-07-23,211,13,81,116,1,210,44.8,55.2,32.3
2025-07-24,205,16,79,107,3,202,47.0,53.0,32.0
2025-07-25,215,6,67,140,2,213,34.3,65.7,32.3
2025-07-26,206,28,75,99,4,202,51.0,49.0,30.3
2025-07-27,218,11,75,131,1,217,39.6,60.4,30.8
2025-07-28,211,9,74,126,2,209,39.7,60.3,32.3
2025-07-29,202,18,73,111,0,202,45.0,55.0,30.0
2025-07-30,209,17,82,110,0,209,47.4,52.6,33.4
2025-07-31,204,19,76,108,1,203,46.8,53.2,32.1
2025-08-01,215,21,64,128,2,213,39.9,60.1,32.6
2025-08-02,198,15,79,103,1,197,47.7,52.3,33.1
2025-08-03,212,13,68,131,0,212,38.2,61.8,32.6
2025-08-04,206,16,71,119,0,206,42.2,57.8,34.9
2025-08-05,198,14,82,102,0,198,48.5,51.5,31.4
2025-08-06,208,18,78,112,0,208,46.2,53.8,32.0
2025-08-07,201,16,86,97,2,199,51.3,48.7,29.6
2025-08-08,214,14,78,120,2,212,43.4,56.6,31.0
2025-08-09,200,20,69,110,1,199,44.7,55.3,33.6
2025-08-10,214,22,83,109,0,214,49.1,50.9,32.9
2025-08-11,206,19,77,110,0,206,46.6,53.4,32.3
2025-08-12,197,22,83,92,0,197,53.3,46.7,32.0
2025-08-13,209,19,74,115,1,208,44.7,55.3,30.8
2025-08-14,203,23,80,99,1,202,51.0,49.0,30.5
2025-08-15,214,21,61,128,4,210,39.0,61.0,33.3
2025-08-16,197,16,72,108,1,196,44.9,55.1,31.0
2025-08-17,212,28,88,95,1,211,55.0,45.0,32.6
2025-08-18,207,21,69,117,0,207,43.5,56.5,31.2
2025-08-19,201,16,74,111,0,201,44.8,55.2,30.7
2025-08-20,207,22,68,117,0,207,43.5,56.5,32.4
2025-08-21,206,21,69,114,2,204,44.1,55.9,33.5
2025-08-22,214,20,85,109,0,214,49.1,50.9,32.0
2025-08-23,200,21,78,101,0,200,49.5,50.5,32.0
2025-08-24,215,17,78,120,0,215,44.2,55.8,32.1
2025-08-25,213,12,75,124,2,211,41.2,58.8,32.2
2025-08-26,204,23,92,86,3,201,57.2,42.8,33.2
2025-08-27,212,18,91,100,3,209,52.2,47.8,33.4
2025-08-28,207,18,76,109,4,203,46.3,53.7,30.5
2025-08-29,218,12,82,121,3,215,43.7,56.3,32.4
2025-08-30,202,17,78,102,5,197,48.2,51.8,30.8
2025-08-31,217,22,92,100,3,214,53.3,46.7,32.7
2025-09-01,205,21,86,97,1,204,52.5,47.5,30.9
2025-09-02,201,28,85,87,1,200,56.5,43.5,29.3
2025-09-03,209,34,87,80,8,201,60.2,39.8,30.3
2025-09-04,206,29,72,104,1,205,49.3,50.7,30.7
2025-09-05,216,26,85,101,4,212,52.4,47.6,32.6
2025-09-06,199,31,77,88,3,196,55.1,44.9,31.1
2025-09-07,216,19,97,99,1,215,54.0,46.0,33.3
2025-09-08,209,28,77,104,0,209,50.2,49.8,31.3
2025-09-09,203,21,94,80,8,195,59.0,41.0,31.4
2025-09-10,209,14,67,123,5,204,39.7,60.3,34.4
2025-09-11,205,30,87,78,10,195,60.0,40.0,32.2
2025-09-12,214,26,86,98,4,210,53.3,46.7,32.6
2025-09-13,202,21,77,96,8,194,50.5,49.5,35.9
2025-09-14,215,27,77,111,0,215,48.4,51.6,31.4
2025-09-15,208,22,94,81,11,197,58.9,41.1,30.9
2025-09-16,198,22,91,72,13,185,61.1,38.9,30.9
2025-09-17,209,27,84,87,11,198,56.1,43.9,30.2
2025-09-18,205,16,84,91,14,191,52.4,47.6,32.5
2025-09-19,214,13,82,112,7,207,45.9,54.1,32.9
2025-09-20,200,15,105,75,5,195,61.5,38.5,30.8
2025-09-21,212,18,94,98,2,210,53.3,46.7,29.6
2025-09-22,208,13,93,92,10,198,53.5,46.5,28.2
2025-09-23,197,14,84,86,13,184,53.3,46.7,29.6
2025-09-24,209,9,86,103,11,198,48.0,52.0,31.0
2025-09-25,203,19,84,92,8,195,52.8,47.2,32.8
2025-09-26,213,11,90,108,4,209,48.3,51.7,32.2
2025-09-27,197,15,76,100,6,191,47.6,52.4,30.4
2025-09-28,211,7,77,127,0,211,39.8,60.2,33.8
2025-09-29,202,15,75,105,7,195,46.2,53.8,30.0
2025-09-30,197,7,74,105,11,186,43.5,56.5,30.0
2025-10-01,204,13,75,107,9,195,45.1,54.9,32.4
2025-10-02,201,13,79,103,6,195,47.2,52.8,31.1
2025-10-03,213,10,84,119,0,213,44.1,55.9,32.1
2025-10-04,199,11,88,97,3,196,50.5,49.5,31.5
2025-10-05,216,11,85,119,1,215,44.7,55.3,33.9
2025-10-06,208,6,82,119,1,207,42.5,57.5,30.6
2025-10-07,198,19,106,72,1,197,63.5,36.5,27.5
2025-10-08,210,10,90,109,1,209,47.8,52.2,30.0
2025-10-09,202,13,95,94,0,202,53.5,46.5,27.3
2025-10-10,213,8,78,127,0,213,40.4,59.6,34.0
2025-10-11,201,18,99,83,1,200,58.5,41.5,31.2
2025-10-12,212,12,86,113,1,211,46.4,53.6,31.3
2025-10-13,206,18,94,94,0,206,54.4,45.6,34.1
2025-10-14,196,15,102,79,0,196,59.7,40.3,31.4
2025-10-15,203,20,97,84,2,201,58.2,41.8,28.4
2025-10-16,201,11,99,91,0,201,54.7,45.3,29.4
2025-10-17,210,9,82,119,0,210,43.3,56.7,32.8
2025-10-18,195,6,113,75,1,194,61.3,38.7,30.4
2025-10-19,211,14,84,113,0,211,46.4,53.6,29.5
2025-10-20,207,13,98,96,0,207,53.6,46.4,30.9
2025-10-21,196,27,101,68,0,196,65.3,34.7,28.0
2025-10-22,203,12,93,97,1,202,52.0,48.0,30.2
2025-10-23,199,8,85,106,0,199,46.7,53.3,31.4
2025-10-24,214,14,83,117,0,214,45.3,54.7,32.1
2025-10-25,195,17,102,75,1,194,61.3,38.7,30.3
2025-10-26,219,12,90,116,1,218,46.8,53.2,31.3
2025-10-27,212,14,96,100,2,210,52.4,47.6,33.4
2025-10-28,192,18,100,73,1,191,61.8,38.2,29.6
2025-10-29,201,19,74,108,0,201,46.3,53.7,29.9
2025-10-30,190,16,83,91,0,190,52.1,47.9,30.6
2025-10-31,200,15,75,110,0,200,45.0,55.0,31.4
2025-11-01,182,12,91,78,1,181,56.9,43.1,30.8
2025-11-02,199,12,77,110,0,199,44.7,55.3,34.6
2025-11-03,192,11,89,92,0,192,52.1,47.9,30.6
2025-11-04,181,15,86,80,0,181,55.8,44.2,30.4
2025-11-05,205,10,86,108,1,204,47.1,52.9,29.5
2025-11-06,191,14,99,78,0,191,59.2,40.8,30.4
2025-11-07,209,8,101,99,1,208,52.4,47.6,30.1
2025-11-08,197,8,100,87,2,195,55.4,44.6,28.2
2025-11-09,208,16,89,103,0,208,50.5,49.5,31.7
2025-11-10,202,9,104,89,0,202,55.9,44.1,31.1
2025-11-11,192,8,93,88,3,189,53.4,46.6,30.7
2025-11-12,204,12,89,101,2,202,50.0,50.0,30.8
2025-11-13,194,13,102,78,1,193,59.6,40.4,29.7
2025-11-14,208,12,86,110,0,208,47.1,52.9,32.6
2025-11-15,195,11,103,81,0,195,58.5,41.5,30.1
2025-11-16,206,14,92,100,0,206,51.5,48.5,32.2
2025-11-17,197,11,99,87,0,197,55.8,44.2,32.9
2025-11-18,187,18,91,77,1,186,58.6,41.4,29.1
2025-11-19,201,18,106,76,1,200,62.0,38.0,30.3
2025-11-20,191,15,95,80,1,190,57.9,42.1,30.4
2025-11-21,207,19,95,93,0,207,55.1,44.9,32.6
2025-11-22,191,22,91,76,2,189,59.8,40.2,28.6
2025-11-23,203,14,79,110,0,203,45.8,54.2,34.3
2025-11-24,200,12,95,92,1,199,53.8,46.2,34.1
2025-11-25,188,16,89,83,0,188,55.9,44.1,29.9
2025-11-26,206,15,88,102,1,205,50.2,49.8,28.9
2025-11-27,192,26,84,82,0,192,57.3,42.7,28.5
2025-11-28,210,11,102,95,2,208,54.3,45.7,30.3
2025-11-29,191,11,86,89,5,186,52.2,47.8,32.4
2025-11-30,203,17,95,91,0,203,55.2,44.8,30.5
2025-12-01,201,10,88,103,0,201,48.8,51.2,33.2
2025-12-02,189,18,111,59,1,188,68.6,31.4,30.6
2025-12-03,209,19,100,89,1,208,57.2,42.8,33.6
2025-12-04,193,26,89,78,0,193,59.6,40.4,31.8
2025-12-05,211,24,89,98,0,211,53.6,46.4,30.8
2025-12-06,195,22,99,74,0,195,62.1,37.9,28.7
